Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
24.5.2021;9,44;9,444;9,368;9,444;9,34;9,43;9,409;799725;7524321,6;2850
21.5.2021;9,40;9,408;9,268;9,42;9,232;9,414;9,373;1452121;13609688,55;4499
20.5.2021;9,244;9,252;9,29;9,376;9,154;9,228;9,235;1458549;13467986,33;4452
19.5.2021;9,252;9,258;9,632;9,632;9,14;9,238;9,292;2583635;24007056,8;7374
18.5.2021;9,624;9,634;9,502;9,794;9,498;9,632;9,657;2437689;23540196,76;5473
17.5.2021;9,414;9,418;9,47;9,478;9,308;9,40;9,391;2138026;20075969,31;5531
14.5.2021;9,352;9,36;9,406;9,43;9,16;9,39;9,308;2306096;21461260,54;7061
12.5.2021;9,378;9,384;9,53;9,68;9,368;9,386;9,50;2074438;19714604,13;6412
11.5.2021;9,532;9,542;9,50;9,544;9,258;9,536;9,468;2745776;25992185,25;6176
10.5.2021;9,614;9,62;9,61;9,696;9,572;9,624;9,626;1410856;13580116,6;4788
7.5.2021;9,602;9,61;9,408;9,63;9,386;9,588;9,551;2103145;20084792,59;5444
6.5.2021;9,354;9,358;9,472;9,49;9,21;9,332;9,309;1737273;16169163,34;5741
5.5.2021;9,466;9,478;9,174;9,486;9,158;9,464;9,377;1889182;17713334,48;6181
4.5.2021;9,134;9,14;9,42;9,558;9,104;9,13;9,29;3117473;28959177,13;7728
3.5.2021;9,382;9,39;9,328;9,394;9,164;9,38;9,318;2444558;22788223,01;5836
30.4.2021;9,364;9,376;9,588;9,60;9,344;9,344;9,391;3414782;32071640,42;7637
29.4.2021;9,56;9,568;9,97;9,98;9,56;9,582;9,731;5088191;49528527,18;10090
28.4.2021;10,255;10,265;10,27;10,31;10,05;10,255;10,238;1576368;16138880,54;4556
27.4.2021;10,26;10,27;10,345;10,36;10,135;10,27;10,239;2071146;21206526,46;4696
26.4.2021;10,275;10,29;10,00;10,43;9,98;10,29;10,272;2729208;28034206,16;6671
23.4.2021;9,962;9,98;9,59;10,015;9,268;10,00;9,764;3495712;34115768,61;7977
22.4.2021;9,478;9,486;9,35;9,522;9,344;9,448;9,441;2247427;21213703,21;5536
21.4.2021;9,274;9,282;9,26;9,336;9,11;9,282;9,246;2434057;22503575,53;5996
20.4.2021;9,266;9,272;9,524;9,542;9,264;9,274;9,365;2551344;23897715,49;5987
19.4.2021;9,546;9,552;9,718;9,74;9,524;9,524;9,593;1196047;11476625,3;3845
16.4.2021;9,672;9,682;9,372;9,74;9,35;9,68;9,572;2094649;20042404,71;4865
15.4.2021;9,372;9,38;9,472;9,68;9,304;9,372;9,418;2496723;23513437,74;5778
14.4.2021;9,458;9,466;9,646;9,66;9,432;9,454;9,496;1566559;14875652,1;3950
13.4.2021;9,53;9,538;9,54;9,688;9,514;9,546;9,586;1317422;12629176,54;3943
12.4.2021;9,514;9,524;9,704;9,818;9,49;9,532;9,592;1503635;14423072,32;3877
9.4.2021;9,694;9,702;9,72;9,77;9,634;9,676;9,678;1122579;10864691,42;2890
8.4.2021;9,696;9,704;9,608;9,906;9,608;9,69;9,747;1999689;19491952,64;4731
7.4.2021;9,532;9,538;9,652;9,678;9,436;9,544;9,524;2356101;22438800,4;4422
6.4.2021;9,606;9,614;9,60;9,688;9,53;9,614;9,603;2082901;20001947,45;5233
1.4.2021;9,578;9,588;9,47;9,716;9,47;9,598;9,622;1132090;10895818,81;2494
31.3.2021;9,485;9,50;9,445;9,565;9,40;9,505;9,492;1818736;17262020,26;3301
30.3.2021;9,45;9,46;9,425;9,575;9,32;9,455;9,453;2265038;21411391,5;4125
29.3.2021;9,395;9,405;9,355;9,45;9,20;9,405;9,373;1575839;14774863,41;3677
26.3.2021;9,33;9,345;9,18;9,365;9,18;9,355;9,325;1456923;13585961,43;2880
25.3.2021;9,08;9,09;9,00;9,13;8,955;9,105;9,059;1815692;16446565,12;3863
24.3.2021;9,035;9,05;8,925;9,11;8,85;9,04;9,024;1294855;11682621,37;2564
23.3.2021;8,955;8,965;9,11;9,15;8,94;8,945;9,003;1471643;13251070,44;2813
22.3.2021;9,12;9,13;9,01;9,14;8,945;9,14;9,111;1281829;11677038,32;3144
19.3.2021;9,04;9,05;9,09;9,145;8,94;9,035;9,04;2591758;23429817,83;4620
18.3.2021;9,14;9,15;9,11;9,25;9,015;9,17;9,129;1632098;14897708,36;3156
17.3.2021;9,035;9,045;9,18;9,18;9,025;9,055;9,07;1403164;12727163,95;3392
16.3.2021;9,18;9,195;9,31;9,315;9,13;9,18;9,201;1282114;11799298,69;2556
15.3.2021;9,285;9,30;9,28;9,37;9,245;9,31;9,308;1306261;12158440,98;2683
12.3.2021;9,27;9,285;9,23;9,32;9,11;9,275;9,251;1528783;14141547,89;3680
11.3.2021;9,265;9,275;9,05;9,315;9,03;9,29;9,254;2059981;19060002,61;3802
10.3.2021;9,01;9,02;9,22;9,24;8,975;9,00;9,03;1700645;15355855,9;4513
9.3.2021;9,205;9,215;9,28;9,375;9,17;9,255;9,259;1589852;14716809,72;2737
8.3.2021;9,26;9,27;9,015;9,29;8,92;9,29;9,151;1546982;14146488,4;3747
5.3.2021;8,96;8,97;8,88;9,195;8,78;8,985;8,993;2248288;20216855,47;4603
4.3.2021;8,94;8,95;9,40;9,43;8,92;8,92;9,081;2547056;23154558,17;5281
3.3.2021;9,41;9,42;9,50;9,595;9,255;9,445;9,444;2034271;19213550,67;5106
2.3.2021;9,46;9,47;9,50;9,565;9,38;9,45;9,451;1793366;16950291,57;4723
1.3.2021;9,505;9,52;9,40;9,545;9,28;9,535;9,425;2003283;18879534,7;4983
